,Date,Price - USD/LB
230,1963-11-01,0.1142
231,1963-11-04,0.1129
232,1963-11-06,0.1079
233,1963-11-07,0.1029
234,1963-11-08,0.1062
235,1963-11-12,0.1071
236,1963-11-13,0.1023
237,1963-11-14,0.1045
238,1963-11-15,0.1014
239,1963-11-18,0.0966
240,1963-11-19,0.0978
241,1963-11-20,0.0942
242,1963-11-21,0.0931
243,1963-11-22,0.089
244,1963-11-26,0.0939
245,1963-11-27,0.099
246,1963-11-29,0.1034
247,1963-12-02,0.1027
248,1963-12-03,0.1026
249,1963-12-04,0.0995
250,1963-12-05,0.0947
251,1963-12-06,0.0897
252,1963-12-09,0.095
253,1963-12-10,0.1
254,1963-12-11,0.0977
255,1963-12-12,0.0974
256,1963-12-13,0.095
257,1963-12-16,0.1001
258,1963-12-17,0.1035
259,1963-12-18,0.1002
260,1963-12-19,0.0966
261,1963-12-20,0.0966
262,1963-12-23,0.0961
263,1963-12-24,0.0979
264,1963-12-26,0.101
265,1963-12-27,0.1023
266,1963-12-30,0.1021
267,1963-12-31,0.1037
268,1964-01-02,0.1004
269,1964-01-03,0.0993
270,1964-01-06,0.1009
271,1964-01-07,0.1008
272,1964-01-08,0.1021
273,1964-01-09,0.106
274,1964-01-10,0.11
275,1964-01-13,0.1085
276,1964-01-14,0.1068
277,1964-01-15,0.1078
278,1964-01-16,0.1094
279,1964-01-17,0.1093
280,1964-01-20,0.1065
281,1964-01-21,0.1052
282,1964-01-22,0.1047
283,1964-01-23,0.1031
284,1964-01-24,0.1041
285,1964-01-27,0.1056
286,1964-01-28,0.1035
287,1964-01-29,0.1038
288,1964-01-30,0.0989
289,1964-01-31,0.0939
290,1964-02-03,0.0935
291,1964-02-04,0.089
292,1964-02-05,0.087
293,1964-02-06,0.0825
294,1964-02-07,0.0853
295,1964-02-10,0.0903
296,1964-02-11,0.0943
297,1964-02-13,0.0902
298,1964-02-14,0.0898
299,1964-02-17,0.0889
300,1964-02-18,0.0914
301,1964-02-19,0.0885
302,1964-02-20,0.0917
303,1964-02-24,0.0887
304,1964-02-25,0.0876
305,1964-02-26,0.0892
306,1964-02-27,0.0882
307,1964-02-28,0.0845
308,1964-03-02,0.0795
309,1964-03-03,0.077
310,1964-03-04,0.0735
311,1964-03-05,0.0754
312,1964-03-06,0.0705
313,1964-03-09,0.0675
314,1964-03-10,0.069
315,1964-03-11,0.0717
316,1964-03-12,0.0768
317,1964-03-13,0.0741
318,1964-03-16,0.07
319,1964-03-17,0.0707
320,1964-03-18,0.0715
321,1964-03-19,0.0729
322,1964-03-20,0.074
323,1964-03-23,0.0708
324,1964-03-24,0.0713
325,1964-03-25,0.0725
326,1964-03-26,0.0758
327,1964-03-30,0.075
328,1964-03-31,0.0789
329,1964-04-01,0.0804
330,1964-04-02,0.0754
331,1964-04-03,0.0741
332,1964-04-06,0.074
333,1964-04-07,0.0772
334,1964-04-08,0.0822
335,1964-04-09,0.0798
336,1964-04-10,0.0822
337,1964-04-13,0.0853
338,1964-04-14,0.0811
339,1964-04-15,0.0758
340,1964-04-16,0.0761
341,1964-04-17,0.0746
342,1964-04-20,0.0755
343,1964-04-21,0.0778
344,1964-04-22,0.0804
345,1964-04-23,0.0794
346,1964-04-24,0.0838
347,1964-04-27,0.0817
348,1964-04-28,0.0821
349,1964-04-29,0.0805
350,1964-04-30,0.078
351,1964-05-01,0.0798
352,1964-05-04,0.0787
353,1964-05-05,0.0765
354,1964-05-06,0.0744
355,1964-05-07,0.0753
356,1964-05-08,0.075
357,1964-05-11,0.0705
358,1964-05-12,0.0717
359,1964-05-13,0.0729
360,1964-05-14,0.0735
361,1964-05-15,0.0715
362,1964-05-18,0.0671
363,1964-05-19,0.0656
364,1964-05-20,0.063
365,1964-05-21,0.0664
366,1964-05-22,0.0648
367,1964-05-25,0.0615
368,1964-05-26,0.0588
369,1964-05-27,0.0562
370,1964-05-28,0.056
371,1964-06-01,0.0518
372,1964-06-02,0.0555
373,1964-06-03,0.057
374,1964-06-04,0.0583
375,1964-06-05,0.06
376,1964-06-08,0.0554
377,1964-06-09,0.054
378,1964-06-10,0.0521
379,1964-06-11,0.0502
380,1964-06-12,0.05
381,1964-06-15,0.0497
382,1964-06-16,0.0513
383,1964-06-17,0.0496
384,1964-06-18,0.0503
385,1964-06-19,0.0503
386,1964-06-22,0.0491
387,1964-06-23,0.0486
388,1964-06-24,0.05
389,1964-06-25,0.0473
390,1964-06-26,0.0495
391,1964-06-29,0.0485
392,1964-06-30,0.0484
393,1964-07-01,0.0489
394,1964-07-02,0.0493
395,1964-07-06,0.0484
396,1964-07-07,0.0478
397,1964-07-08,0.047
398,1964-07-09,0.0452
399,1964-07-10,0.0442
400,1964-07-13,0.0453
401,1964-07-14,0.0455
402,1964-07-15,0.0465
403,1964-07-16,0.0449
404,1964-07-17,0.0441
405,1964-07-20,0.0433
406,1964-07-21,0.0424
407,1964-07-22,0.0414
408,1964-07-23,0.0423
409,1964-07-24,0.0427
410,1964-07-27,0.0409
411,1964-07-28,0.0414
412,1964-07-29,0.0426
413,1964-07-30,0.0439
