,Date,Price - USD/Bushel
242,1960-06-15,1.185
243,1960-06-16,1.187
244,1960-06-17,1.181
245,1960-06-20,1.173
246,1960-06-21,1.167
247,1960-06-22,1.157
248,1960-06-23,1.161
249,1960-06-24,1.16
250,1960-06-27,1.1582
251,1960-06-28,1.1584
252,1960-06-29,1.156
253,1960-06-30,1.159
254,1960-07-01,1.167
255,1960-07-05,1.174
256,1960-07-06,1.175
257,1960-07-07,1.173
258,1960-07-08,1.173
259,1960-07-11,1.172
260,1960-07-12,1.166
261,1960-07-13,1.165
262,1960-07-14,1.165
263,1960-07-15,1.163
264,1960-07-18,1.161
265,1960-07-19,1.163
266,1960-07-20,1.154
267,1960-07-21,1.167
268,1960-07-22,1.166
269,1960-07-25,1.163
270,1960-07-26,1.164
271,1960-07-27,1.167
272,1960-07-28,1.165
273,1960-07-29,1.161
274,1960-08-01,1.163
275,1960-08-02,1.163
276,1960-08-03,1.157
277,1960-08-04,1.163
278,1960-08-05,1.16
279,1960-08-08,1.151
280,1960-08-09,1.147
281,1960-08-10,1.151
282,1960-08-11,1.147
283,1960-08-12,1.147
284,1960-08-15,1.151
285,1960-08-16,1.154
286,1960-08-17,1.163
287,1960-08-18,1.161
288,1960-08-19,1.154
289,1960-08-22,1.152
290,1960-08-23,1.156
291,1960-08-24,1.157
292,1960-08-25,1.156
293,1960-08-26,1.148
294,1960-08-29,1.1336
295,1960-08-30,1.1198
296,1960-08-31,1.1084
297,1960-09-01,1.105
298,1960-09-02,1.104
299,1960-09-06,1.102
300,1960-09-07,1.102
301,1960-09-08,1.103
302,1960-09-09,1.102
303,1960-09-12,1.1
304,1960-09-13,1.1
305,1960-09-14,1.095
306,1960-09-15,1.094
307,1960-09-16,1.092
308,1960-09-19,1.092
309,1960-09-20,1.093
310,1960-09-21,1.091
311,1960-09-22,1.091
312,1960-09-23,1.093
313,1960-09-26,1.087
314,1960-09-27,1.086
315,1960-09-28,1.091
316,1960-09-29,1.09
317,1960-09-30,1.092
318,1960-10-03,1.09
319,1960-10-04,1.087
320,1960-10-05,1.086
321,1960-10-06,1.085
322,1960-10-07,1.084
323,1960-10-10,1.086
324,1960-10-11,1.084
325,1960-10-12,1.083
326,1960-10-13,1.08
327,1960-10-14,1.08
328,1960-10-17,1.076
329,1960-10-18,1.077
330,1960-10-19,1.086
331,1960-10-20,1.094
332,1960-10-21,1.091
333,1960-10-24,1.087
334,1960-10-25,1.08
335,1960-10-26,1.08
336,1960-10-27,1.08
337,1960-10-28,1.073
338,1960-10-31,1.075
339,1960-11-01,1.083
340,1960-11-02,1.083
341,1960-11-03,1.076
342,1960-11-04,1.073
343,1960-11-07,1.074
344,1960-11-09,1.074
345,1960-11-10,1.063
346,1960-11-11,1.054
347,1960-11-14,1.034
348,1960-11-15,1.031
349,1960-11-16,1.031
350,1960-11-17,1.024
351,1960-11-18,1.01
352,1960-11-21,1.007
353,1960-11-22,1.026
354,1960-11-23,1.031
355,1960-11-25,1.0336
356,1960-11-28,1.0478
357,1960-11-29,1.0572
358,1960-11-30,1.0752
359,1960-12-01,1.084
360,1960-12-02,1.085
361,1960-12-05,1.09
362,1960-12-06,1.095
363,1960-12-07,1.102
364,1960-12-08,1.094
365,1960-12-09,1.091
366,1960-12-12,1.096
367,1960-12-13,1.09
368,1960-12-14,1.086
369,1960-12-15,1.09
370,1960-12-16,1.09
371,1960-12-19,1.085
372,1960-12-20,1.087
373,1960-12-21,1.096
374,1960-12-22,1.096
375,1960-12-23,1.097
376,1960-12-27,1.094
377,1960-12-28,1.102
378,1960-12-29,1.101
379,1960-12-30,1.093
380,1961-01-03,1.102
381,1961-01-04,1.114
382,1961-01-05,1.114
383,1961-01-06,1.117
384,1961-01-09,1.115
385,1961-01-10,1.116
386,1961-01-11,1.113
387,1961-01-12,1.107
388,1961-01-13,1.115
389,1961-01-16,1.116
390,1961-01-17,1.115
391,1961-01-18,1.116
392,1961-01-19,1.115
393,1961-01-20,1.115
394,1961-01-23,1.115
395,1961-01-24,1.123
396,1961-01-25,1.121
397,1961-01-26,1.126
398,1961-01-27,1.136
399,1961-01-30,1.154
400,1961-01-31,1.152
401,1961-02-01,1.15
402,1961-02-02,1.154
403,1961-02-03,1.171
404,1961-02-06,1.184
405,1961-02-07,1.164
406,1961-02-08,1.157
407,1961-02-09,1.166
408,1961-02-10,1.155
409,1961-02-13,1.15
410,1961-02-14,1.151
411,1961-02-15,1.152
412,1961-02-16,1.153
413,1961-02-17,1.135
414,1961-02-20,1.132
415,1961-02-21,1.135
416,1961-02-23,1.1494
417,1961-02-24,1.1588
418,1961-02-27,1.1454
419,1961-02-28,1.1746
420,1961-03-01,1.173
421,1961-03-02,1.172
422,1961-03-03,1.18
423,1961-03-06,1.192
424,1961-03-07,1.184
425,1961-03-08,1.19
426,1961-03-09,1.181
427,1961-03-10,1.182
428,1961-03-13,1.18
429,1961-03-14,1.184
430,1961-03-15,1.176
431,1961-03-16,1.177
432,1961-03-17,1.165
433,1961-03-20,1.155
434,1961-03-21,1.16
435,1961-03-22,1.157
436,1961-03-23,1.157
437,1961-03-24,1.155
438,1961-03-27,1.132
439,1961-03-28,1.105
440,1961-03-29,1.082
441,1961-03-30,1.09
442,1961-04-03,1.083
443,1961-04-04,1.096
444,1961-04-05,1.1
445,1961-04-06,1.1
446,1961-04-07,1.093
447,1961-04-10,1.081
448,1961-04-11,1.093
449,1961-04-12,1.084
450,1961-04-13,1.09
451,1961-04-14,1.09
452,1961-04-17,1.087
453,1961-04-18,1.093
454,1961-04-19,1.1
455,1961-04-20,1.11
456,1961-04-21,1.114
457,1961-04-24,1.123
458,1961-04-25,1.14
459,1961-04-26,1.1324
460,1961-04-27,1.137
461,1961-04-28,1.1552
462,1961-05-01,1.162
463,1961-05-02,1.161
464,1961-05-03,1.153
465,1961-05-04,1.154
466,1961-05-05,1.154
467,1961-05-08,1.157
468,1961-05-09,1.156
469,1961-05-10,1.156
470,1961-05-11,1.162
471,1961-05-12,1.174
472,1961-05-15,1.174
473,1961-05-16,1.163
474,1961-05-17,1.167
475,1961-05-18,1.164
476,1961-05-19,1.157
477,1961-05-22,1.14
478,1961-05-23,1.142
479,1961-05-24,1.147
480,1961-05-25,1.153
481,1961-05-26,1.152
482,1961-05-29,1.155
483,1961-05-31,1.163
484,1961-06-01,1.164
485,1961-06-02,1.166
486,1961-06-05,1.171
487,1961-06-06,1.165
488,1961-06-07,1.163
489,1961-06-08,1.157
490,1961-06-09,1.147
491,1961-06-12,1.137
492,1961-06-13,1.136
493,1961-06-14,1.137
494,1961-06-15,1.141
495,1961-06-16,1.133
496,1961-06-19,1.123
497,1961-06-20,1.126
498,1961-06-21,1.126
499,1961-06-22,1.13
500,1961-06-23,1.137
501,1961-06-26,1.126
502,1961-06-27,1.1298
503,1961-06-28,1.1322
504,1961-06-29,1.151
505,1961-06-30,1.1636
506,1961-07-03,1.176
507,1961-07-05,1.173
508,1961-07-06,1.175
509,1961-07-07,1.172
510,1961-07-10,1.18
511,1961-07-11,1.191
512,1961-07-12,1.193
513,1961-07-13,1.172
514,1961-07-14,1.171
515,1961-07-17,1.173
516,1961-07-18,1.163
517,1961-07-19,1.163
518,1961-07-20,1.162
519,1961-07-21,1.151
520,1961-07-24,1.146
521,1961-07-25,1.154
522,1961-07-26,1.146
523,1961-07-27,1.146
524,1961-07-28,1.145
525,1961-07-31,1.134
526,1961-08-01,1.127
527,1961-08-02,1.134
528,1961-08-03,1.127
529,1961-08-04,1.123
530,1961-08-07,1.115
531,1961-08-08,1.112
532,1961-08-09,1.113
533,1961-08-10,1.114
534,1961-08-11,1.114
535,1961-08-14,1.123
536,1961-08-15,1.125
537,1961-08-16,1.122
538,1961-08-17,1.12
539,1961-08-18,1.121
540,1961-08-21,1.116
541,1961-08-22,1.117
542,1961-08-23,1.12
543,1961-08-24,1.122
544,1961-08-25,1.124
545,1961-08-28,1.1226
546,1961-08-29,1.1188
547,1961-08-30,1.124
548,1961-08-31,1.1254
549,1961-09-01,1.13
550,1961-09-05,1.13
551,1961-09-06,1.131
552,1961-09-07,1.133
553,1961-09-08,1.136
554,1961-09-11,1.132
555,1961-09-12,1.131
556,1961-09-13,1.136
557,1961-09-14,1.122
558,1961-09-15,1.11
559,1961-09-18,1.11
560,1961-09-19,1.11
561,1961-09-20,1.11
562,1961-09-21,1.112
563,1961-09-22,1.114
564,1961-09-25,1.104
565,1961-09-26,1.097
566,1961-09-27,1.094
567,1961-09-28,1.092
568,1961-09-29,1.092
569,1961-10-02,1.084
570,1961-10-03,1.091
571,1961-10-04,1.084
572,1961-10-05,1.08
573,1961-10-06,1.077
574,1961-10-09,1.093
575,1961-10-10,1.1
576,1961-10-11,1.113
577,1961-10-12,1.11
578,1961-10-13,1.106
579,1961-10-16,1.1
580,1961-10-17,1.093
581,1961-10-18,1.094
582,1961-10-19,1.111
583,1961-10-20,1.116
584,1961-10-23,1.115
585,1961-10-24,1.113
586,1961-10-25,1.115
587,1961-10-26,1.104
588,1961-10-27,1.097
589,1961-10-30,1.083
590,1961-10-31,1.086
591,1961-11-01,1.084
592,1961-11-02,1.09
593,1961-11-03,1.094
594,1961-11-06,1.084
595,1961-11-07,1.091
596,1961-11-08,1.101
597,1961-11-09,1.092
598,1961-11-10,1.093
599,1961-11-13,1.102
600,1961-11-14,1.11
601,1961-11-15,1.103
602,1961-11-16,1.102
603,1961-11-17,1.087
604,1961-11-20,1.09
605,1961-11-21,1.097
606,1961-11-22,1.1
607,1961-11-24,1.104
608,1961-11-27,1.1098
609,1961-11-28,1.1076
610,1961-11-29,1.11
611,1961-11-30,1.1206
612,1961-12-01,1.123
613,1961-12-04,1.116
614,1961-12-05,1.115
615,1961-12-06,1.112
616,1961-12-07,1.107
617,1961-12-08,1.11
618,1961-12-11,1.113
619,1961-12-12,1.114
620,1961-12-13,1.112
621,1961-12-14,1.114
622,1961-12-15,1.106
623,1961-12-18,1.102
624,1961-12-19,1.1
625,1961-12-20,1.097
626,1961-12-21,1.103
627,1961-12-22,1.104
628,1961-12-26,1.101
629,1961-12-27,1.1
630,1961-12-28,1.105
631,1961-12-29,1.106
632,1962-01-02,1.105
633,1962-01-03,1.096
634,1962-01-04,1.095
635,1962-01-05,1.093
636,1962-01-08,1.091
637,1962-01-09,1.094
638,1962-01-10,1.09
639,1962-01-11,1.075
640,1962-01-12,1.075
641,1962-01-15,1.072
642,1962-01-16,1.073
643,1962-01-17,1.066
644,1962-01-18,1.057
645,1962-01-19,1.066
646,1962-01-22,1.056
647,1962-01-23,1.061
648,1962-01-24,1.055
649,1962-01-25,1.062
650,1962-01-26,1.061
651,1962-01-29,1.064
652,1962-01-30,1.062
653,1962-01-31,1.075
654,1962-02-01,1.072
655,1962-02-02,1.066
656,1962-02-05,1.072
657,1962-02-06,1.072
658,1962-02-07,1.072
659,1962-02-08,1.066
660,1962-02-09,1.062
661,1962-02-12,1.055
662,1962-02-13,1.065
663,1962-02-14,1.063
664,1962-02-15,1.061
665,1962-02-16,1.055
666,1962-02-19,1.043
667,1962-02-20,1.05
668,1962-02-21,1.046
669,1962-02-23,1.048
670,1962-02-26,1.0682
671,1962-02-27,1.0688
672,1962-02-28,1.0838
673,1962-03-01,1.093
674,1962-03-02,1.093
675,1962-03-05,1.105
676,1962-03-06,1.097
677,1962-03-07,1.1
678,1962-03-08,1.101
679,1962-03-09,1.102
680,1962-03-12,1.104
681,1962-03-13,1.1
682,1962-03-14,1.095
683,1962-03-15,1.104
684,1962-03-16,1.125
685,1962-03-19,1.126
686,1962-03-20,1.132
687,1962-03-21,1.127
688,1962-03-22,1.126
689,1962-03-23,1.124
690,1962-03-26,1.122
691,1962-03-27,1.124
692,1962-03-28,1.135
693,1962-03-29,1.14
694,1962-03-30,1.146
695,1962-04-02,1.141
696,1962-04-03,1.143
697,1962-04-04,1.157
698,1962-04-05,1.152
699,1962-04-06,1.145
700,1962-04-09,1.12
701,1962-04-10,1.133
702,1962-04-11,1.115
703,1962-04-12,1.117
704,1962-04-13,1.107
705,1962-04-16,1.106
706,1962-04-17,1.104
707,1962-04-18,1.106
708,1962-04-19,1.123
709,1962-04-23,1.12
710,1962-04-24,1.121
711,1962-04-25,1.1306
712,1962-04-26,1.1298
713,1962-04-27,1.1368
714,1962-04-30,1.144
715,1962-05-01,1.161
716,1962-05-02,1.161
717,1962-05-03,1.171
718,1962-05-04,1.163
719,1962-05-07,1.162
720,1962-05-08,1.161
721,1962-05-09,1.154
722,1962-05-10,1.153
723,1962-05-11,1.143
724,1962-05-14,1.141
725,1962-05-15,1.147
726,1962-05-16,1.154
727,1962-05-17,1.156
728,1962-05-18,1.156
729,1962-05-21,1.16
730,1962-05-22,1.15
731,1962-05-23,1.146
732,1962-05-24,1.151
733,1962-05-25,1.157
734,1962-05-28,1.146
735,1962-05-29,1.142
736,1962-05-31,1.145
737,1962-06-01,1.14
738,1962-06-04,1.145
739,1962-06-05,1.141
740,1962-06-06,1.124
741,1962-06-07,1.105
742,1962-06-08,1.103
743,1962-06-11,1.107
744,1962-06-12,1.106
745,1962-06-13,1.115
746,1962-06-14,1.114
747,1962-06-15,1.112
748,1962-06-18,1.117
749,1962-06-19,1.123
750,1962-06-20,1.12
751,1962-06-21,1.113
752,1962-06-22,1.103
753,1962-06-25,1.097
754,1962-06-26,1.1034
755,1962-06-27,1.1032
756,1962-06-28,1.1202
757,1962-06-29,1.128
758,1962-07-02,1.116
759,1962-07-03,1.12
760,1962-07-05,1.12
761,1962-07-06,1.125
762,1962-07-09,1.123
763,1962-07-10,1.114
764,1962-07-11,1.104
765,1962-07-12,1.11
766,1962-07-13,1.104
767,1962-07-16,1.095
768,1962-07-17,1.094
769,1962-07-18,1.086
770,1962-07-19,1.093
771,1962-07-20,1.092
772,1962-07-23,1.082
773,1962-07-24,1.082
774,1962-07-25,1.091
775,1962-07-26,1.083
776,1962-07-27,1.072
777,1962-07-30,1.076
778,1962-07-31,1.081
779,1962-08-01,1.067
780,1962-08-02,1.056
781,1962-08-03,1.056
782,1962-08-06,1.045
783,1962-08-07,1.04
784,1962-08-08,1.047
785,1962-08-09,1.045
786,1962-08-10,1.052
787,1962-08-13,1.066
788,1962-08-14,1.076
789,1962-08-15,1.08
790,1962-08-16,1.075
791,1962-08-17,1.083
792,1962-08-20,1.082
793,1962-08-21,1.077
794,1962-08-22,1.075
795,1962-08-23,1.082
796,1962-08-24,1.07
797,1962-08-27,1.06
798,1962-08-28,1.0644
799,1962-08-29,1.0672
800,1962-08-30,1.0678
801,1962-08-31,1.068
802,1962-09-04,1.077
803,1962-09-05,1.072
804,1962-09-06,1.073
805,1962-09-07,1.077
806,1962-09-10,1.081
807,1962-09-11,1.08
808,1962-09-12,1.081
809,1962-09-13,1.07
810,1962-09-14,1.075
811,1962-09-17,1.077
812,1962-09-18,1.076
813,1962-09-19,1.072
814,1962-09-20,1.082
815,1962-09-21,1.081
816,1962-09-24,1.077
817,1962-09-25,1.076
818,1962-09-26,1.073
819,1962-09-27,1.077
820,1962-09-28,1.072
821,1962-10-01,1.065
822,1962-10-02,1.061
823,1962-10-03,1.061
824,1962-10-04,1.061
825,1962-10-05,1.066
826,1962-10-08,1.062
827,1962-10-09,1.054
828,1962-10-10,1.055
829,1962-10-11,1.054
830,1962-10-12,1.055
831,1962-10-15,1.052
832,1962-10-16,1.056
833,1962-10-17,1.054
834,1962-10-18,1.052
835,1962-10-19,1.05
836,1962-10-22,1.075
837,1962-10-23,1.12
838,1962-10-24,1.114
839,1962-10-25,1.085
840,1962-10-26,1.096
841,1962-10-29,1.067
842,1962-10-30,1.071
843,1962-10-31,1.071
844,1962-11-01,1.074
845,1962-11-02,1.074
846,1962-11-05,1.06
847,1962-11-07,1.054
848,1962-11-08,1.053
849,1962-11-09,1.052
850,1962-11-12,1.061
851,1962-11-13,1.062
852,1962-11-14,1.066
853,1962-11-15,1.064
854,1962-11-16,1.066
855,1962-11-19,1.081
856,1962-11-20,1.074
857,1962-11-21,1.066
858,1962-11-23,1.064
859,1962-11-26,1.062
860,1962-11-27,1.0694
861,1962-11-28,1.074
862,1962-11-29,1.0866
863,1962-11-30,1.0976
864,1962-12-03,1.102
865,1962-12-04,1.097
866,1962-12-05,1.105
867,1962-12-06,1.111
868,1962-12-07,1.114
869,1962-12-10,1.124
870,1962-12-11,1.125
871,1962-12-12,1.126
872,1962-12-13,1.123
873,1962-12-14,1.121
874,1962-12-17,1.123
875,1962-12-18,1.121
876,1962-12-19,1.117
877,1962-12-20,1.122
878,1962-12-21,1.115
879,1962-12-26,1.115
880,1962-12-27,1.127
881,1962-12-28,1.132
882,1962-12-31,1.126
883,1963-01-02,1.134
884,1963-01-03,1.135
885,1963-01-04,1.132
886,1963-01-07,1.136
887,1963-01-08,1.135
888,1963-01-09,1.135
889,1963-01-10,1.142
890,1963-01-11,1.145
891,1963-01-14,1.15
892,1963-01-15,1.153
893,1963-01-16,1.157
894,1963-01-17,1.163
895,1963-01-18,1.166
896,1963-01-21,1.162
897,1963-01-22,1.152
898,1963-01-23,1.154
899,1963-01-24,1.147
900,1963-01-25,1.152
901,1963-01-28,1.156
902,1963-01-29,1.157
903,1963-01-30,1.147
904,1963-01-31,1.147
905,1963-02-01,1.135
906,1963-02-04,1.141
907,1963-02-05,1.144
908,1963-02-06,1.143
909,1963-02-07,1.146
910,1963-02-08,1.153
911,1963-02-11,1.157
912,1963-02-12,1.157
913,1963-02-13,1.163
914,1963-02-14,1.172
915,1963-02-15,1.174
916,1963-02-18,1.165
917,1963-02-19,1.161
918,1963-02-20,1.161
919,1963-02-21,1.172
920,1963-02-25,1.1798
921,1963-02-26,1.184
922,1963-02-27,1.1836
923,1963-02-28,1.1922
924,1963-03-01,1.194
925,1963-03-04,1.191
926,1963-03-05,1.176
927,1963-03-06,1.164
928,1963-03-07,1.177
929,1963-03-08,1.175
930,1963-03-11,1.182
931,1963-03-12,1.177
932,1963-03-13,1.175
933,1963-03-14,1.175
934,1963-03-15,1.18
935,1963-03-18,1.183
936,1963-03-19,1.184
937,1963-03-20,1.181
938,1963-03-21,1.183
939,1963-03-22,1.184
940,1963-03-25,1.174
941,1963-03-26,1.173
942,1963-03-27,1.166
943,1963-03-28,1.171
944,1963-03-29,1.171
945,1963-04-01,1.163
946,1963-04-02,1.161
947,1963-04-03,1.165
948,1963-04-04,1.165
949,1963-04-05,1.163
950,1963-04-08,1.163
951,1963-04-09,1.173
952,1963-04-10,1.167
953,1963-04-11,1.17
954,1963-04-15,1.171
955,1963-04-16,1.173
956,1963-04-17,1.18
957,1963-04-18,1.185
958,1963-04-19,1.176
959,1963-04-22,1.177
960,1963-04-23,1.176
961,1963-04-24,1.172
962,1963-04-25,1.1796
963,1963-04-26,1.184
964,1963-04-29,1.1804
965,1963-04-30,1.1834
966,1963-05-01,1.192
967,1963-05-02,1.195
968,1963-05-03,1.197
969,1963-05-06,1.202
970,1963-05-07,1.204
971,1963-05-08,1.204
972,1963-05-09,1.21
973,1963-05-10,1.212
974,1963-05-13,1.206
975,1963-05-14,1.203
976,1963-05-15,1.216
977,1963-05-16,1.211
978,1963-05-17,1.206
979,1963-05-20,1.211
980,1963-05-21,1.204
981,1963-05-22,1.216
982,1963-05-23,1.213
983,1963-05-24,1.213
984,1963-05-27,1.207
985,1963-05-28,1.216
986,1963-05-29,1.227
987,1963-05-31,1.232
988,1963-06-03,1.235
989,1963-06-04,1.232
990,1963-06-05,1.233
991,1963-06-06,1.243
992,1963-06-07,1.246
993,1963-06-10,1.25
994,1963-06-11,1.253
995,1963-06-12,1.265
996,1963-06-13,1.266
997,1963-06-14,1.27
998,1963-06-17,1.271
999,1963-06-18,1.266
1000,1963-06-19,1.257
1001,1963-06-20,1.262
1002,1963-06-21,1.256
1003,1963-06-24,1.272
1004,1963-06-25,1.264
1005,1963-06-26,1.2624
1006,1963-06-27,1.2596
1007,1963-06-28,1.2436
1008,1963-07-01,1.267
1009,1963-07-02,1.254
1010,1963-07-03,1.26
1011,1963-07-05,1.254
1012,1963-07-08,1.237
1013,1963-07-09,1.245
1014,1963-07-10,1.252
1015,1963-07-11,1.25
1016,1963-07-12,1.24
1017,1963-07-15,1.215
1018,1963-07-16,1.23
1019,1963-07-17,1.233
1020,1963-07-18,1.237
1021,1963-07-19,1.236
1022,1963-07-22,1.223
1023,1963-07-23,1.235
1024,1963-07-24,1.246
1025,1963-07-25,1.247
1026,1963-07-26,1.237
1027,1963-07-29,1.23
1028,1963-07-30,1.217
1029,1963-07-31,1.205
1030,1963-08-01,1.207
1031,1963-08-02,1.222
1032,1963-08-05,1.23
1033,1963-08-06,1.214
1034,1963-08-07,1.211
1035,1963-08-08,1.214
1036,1963-08-09,1.215
1037,1963-08-12,1.222
1038,1963-08-13,1.234
1039,1963-08-14,1.232
1040,1963-08-15,1.231
1041,1963-08-16,1.224
1042,1963-08-19,1.22
1043,1963-08-20,1.224
1044,1963-08-21,1.231
1045,1963-08-22,1.245
1046,1963-08-23,1.243
1047,1963-08-26,1.255
1048,1963-08-27,1.2312
1049,1963-08-28,1.2044
1050,1963-08-29,1.1796
1051,1963-08-30,1.1568
1052,1963-09-03,1.135
1053,1963-09-04,1.135
1054,1963-09-05,1.13
1055,1963-09-06,1.124
1056,1963-09-09,1.124
1057,1963-09-10,1.134
1058,1963-09-11,1.133
1059,1963-09-12,1.137
1060,1963-09-13,1.143
1061,1963-09-16,1.155
1062,1963-09-17,1.161
1063,1963-09-18,1.16
1064,1963-09-19,1.155
