Date,Settle
1991-09-25,1.65
1991-09-26,1.65
1991-09-27,1.65
1991-09-30,1.635
1991-10-01,1.635
1991-10-02,1.62
1991-10-03,1.625
1991-10-04,1.625
1991-10-07,1.63
1991-10-08,1.64
1991-10-09,1.63
1991-10-10,1.625
1991-10-11,1.62
1991-10-14,1.62
1991-10-15,1.625
1991-10-16,1.62
1991-10-17,1.62
1991-10-18,1.615
1991-10-21,1.62
1991-10-22,1.6
1991-10-23,1.59
1991-10-24,1.58
1991-10-25,1.8
1991-10-28,1.8
1991-10-29,1.795
1991-10-30,1.79
1991-10-31,1.78
1991-11-01,1.77
1991-11-04,1.76
1991-11-05,1.765
1991-11-06,1.77
1991-11-07,1.775
1991-11-08,1.78
1991-11-11,1.755
1991-11-12,1.76
1991-11-13,1.76
1991-11-14,1.75
1991-11-15,1.785
1991-11-18,1.765
1991-11-19,1.755
1991-11-20,1.78
1991-11-21,1.985
1991-11-22,1.985
1991-11-25,1.98
1991-11-26,1.97
1991-11-27,1.965
1991-11-29,1.95
1991-12-02,1.95
1991-12-03,1.95
1991-12-04,1.945
1991-12-05,1.935
1991-12-06,1.93
1991-12-09,1.925
1991-12-10,1.925
1991-12-11,1.89
1991-12-12,1.91
1991-12-13,1.92
1991-12-16,1.92
1991-12-17,1.92
1991-12-18,1.9
1991-12-19,1.895
1991-12-20,1.865
1991-12-23,1.94
1991-12-24,1.94
1991-12-26,1.935
1991-12-27,1.944
1991-12-30,1.955
1991-12-31,1.935
1992-01-02,1.9
1992-01-03,1.895
1992-01-06,1.9
1992-01-07,1.924
1992-01-08,1.96
1992-01-09,1.95
1992-01-10,1.92
1992-01-13,1.95
1992-01-14,1.955
1992-01-15,1.965
1992-01-16,1.955
1992-01-17,1.935
1992-01-20,1.92
1992-01-21,1.92
1992-01-22,1.915
1992-01-23,1.897
1992-01-24,1.91
1992-01-27,1.6
1992-01-28,1.6
1992-01-29,1.598
1992-01-30,1.605
1992-01-31,1.6
1992-02-03,1.6
1992-02-04,1.605
1992-02-05,1.6
1992-02-06,1.605
1992-02-07,1.6
1992-02-10,1.6
1992-02-11,1.6
1992-02-12,1.595
1992-02-13,1.585
1992-02-14,1.575
1992-02-18,1.54
1992-02-19,1.54
1992-02-20,1.533
1992-02-21,1.54
1992-02-24,1.335
1992-02-25,1.335
1992-02-26,1.335
1992-02-27,1.32
1992-02-28,1.33
1992-03-02,1.33
1992-03-03,1.33
1992-03-04,1.345
1992-03-05,1.335
1992-03-06,1.33
1992-03-09,1.33
1992-03-10,1.33
1992-03-11,1.329
1992-03-12,1.34
1992-03-13,1.34
1992-03-16,1.368
1992-03-17,1.36
1992-03-18,1.37
1992-03-19,1.355
1992-03-20,1.35
1992-03-23,1.36
1992-03-24,1.365
1992-03-25,1.35
1992-03-26,1.345
1992-03-27,1.35
1992-03-30,1.345
1992-03-31,1.355
1992-04-01,1.379
1992-04-02,1.373
1992-04-03,1.38
1992-04-06,1.38
1992-04-07,1.375
1992-04-08,1.38
1992-04-09,1.372
1992-04-10,1.36
1992-04-13,1.36
1992-04-14,1.36
1992-04-15,1.36
1992-04-16,1.365
1992-04-20,1.35
1992-04-21,1.365
1992-04-22,1.385
1992-04-23,1.391
1992-04-24,1.395
1992-04-27,1.38
1992-04-28,1.385
1992-04-29,1.385
1992-04-30,1.41
1992-05-01,1.405
1992-05-04,1.41
1992-05-05,1.445
1992-05-06,1.445
1992-05-07,1.445
1992-05-08,1.437
1992-05-11,1.45
1992-05-12,1.46
1992-05-13,1.453
1992-05-14,1.47
1992-05-15,1.46
1992-05-18,1.47
1992-05-19,1.485
1992-05-20,1.49
1992-05-21,1.435
1992-05-22,1.44
1992-05-26,1.47
1992-05-27,1.5
1992-05-28,1.525
1992-05-29,1.55
1992-06-01,1.57
1992-06-02,1.555
1992-06-03,1.525
1992-06-04,1.515
1992-06-05,1.53
1992-06-08,1.525
1992-06-09,1.53
1992-06-10,1.53
1992-06-11,1.52
1992-06-12,1.47
1992-06-15,1.49
1992-06-16,1.509
1992-06-17,1.525
1992-06-18,1.51
1992-06-19,1.485
1992-06-22,1.48
1992-06-23,1.48
1992-06-24,1.495
1992-06-25,1.51
1992-06-26,1.51
1992-06-29,1.51
1992-06-30,1.505
1992-07-01,1.51
1992-07-02,1.505
1992-07-06,1.505
1992-07-07,1.51
1992-07-08,1.54
1992-07-09,1.555
1992-07-10,1.55
1992-07-13,1.58
1992-07-14,1.565
1992-07-15,1.565
1992-07-16,1.55
1992-07-17,1.54
1992-07-20,1.552
1992-07-21,1.57
1992-07-22,1.571
1992-07-23,1.55
1992-07-24,1.585
1992-07-27,1.645
1992-07-28,1.63
1992-07-29,1.655
1992-07-30,1.665
