date,high,close,open,volume,low
2015-11-13,106.48999786376953,105.37000274658203,106.16000366210938,323200,104.75
2015-11-16,108.36000061035156,108.1500015258789,104.81999969482422,339700,104.58999633789062
2015-11-17,108.58000183105469,107.01000213623047,108.1500015258789,201200,106.80999755859375
2015-11-18,105.91000366210938,105.69000244140625,105.6500015258789,286100,103.94999694824219
2015-11-19,107.80999755859375,107.16000366210938,106.8499984741211,164800,106.56999969482422
2015-11-20,110.70999908447266,109.36000061035156,110.12999725341797,195500,108.79000091552734
2015-11-23,110.0,108.68000030517578,109.77999877929688,199100,108.29000091552734
2015-11-24,112.08999633789062,110.91999816894531,109.44999694824219,171900,109.44999694824219
2015-11-25,113.56999969482422,112.62000274658203,112.91000366210938,240600,112.12999725341797
2015-11-27,110.5999984741211,107.83000183105469,110.38999938964844,110300,107.75
2015-11-30,111.41000366210938,110.8499984741211,111.19000244140625,201700,109.83000183105469
2015-12-01,113.9800033569336,113.20999908447266,112.9800033569336,189000,112.43000030517578
2015-12-02,113.29000091552734,109.94999694824219,113.16999816894531,363100,109.5
2015-12-03,114.52999877929688,112.95999908447266,114.08999633789062,290900,112.37000274658203
2015-12-04,115.38999938964844,115.05000305175781,115.12000274658203,417100,113.5999984741211
2015-12-07,110.1500015258789,106.63999938964844,109.97000122070312,291500,106.08999633789062
2015-12-08,107.12000274658203,106.05999755859375,105.04000091552734,259700,104.25
2015-12-09,109.58999633789062,107.11000061035156,107.41000366210938,264500,105.97000122070312
2015-12-10,105.68000030517578,104.29000091552734,104.63999938964844,214200,104.13999938964844
2015-12-11,101.16999816894531,99.33000183105469,101.0,319300,99.08999633789062
2015-12-14,101.12000274658203,100.75,99.87999725341797,245500,99.01000213623047
2015-12-15,104.3499984741211,103.80999755859375,103.43000030517578,218100,102.97000122070312
2015-12-16,105.0,104.25,103.95999908447266,201500,102.79000091552734
2015-12-17,103.25,100.94999694824219,103.16999816894531,154800,100.61000061035156
2015-12-18,102.2699966430664,102.22000122070312,100.91999816894531,325500,100.37999725341797
2015-12-21,102.27999877929688,101.55999755859375,102.23999786376953,191500,100.52999877929688
2015-12-22,102.5,102.2300033569336,101.27999877929688,151300,100.5999984741211
2015-12-23,109.66000366210938,109.5999984741211,104.37000274658203,272800,104.37000274658203
2015-12-24,109.8499984741211,108.6500015258789,108.63999938964844,88000,108.5
2015-12-28,107.52999877929688,106.11000061035156,107.30999755859375,147800,105.2699966430664
2015-12-29,108.0199966430664,107.19999694824219,107.44999694824219,127400,106.47000122070312
2015-12-30,105.83000183105469,104.37999725341797,105.23999786376953,112100,104.31999969482422
