DATE,PRUBBUSDM
1990-01-01,831.804247808036
1990-02-01,852.7481831279758
1990-03-01,828.4973637678531
1990-04-01,837.977165296135
1990-05-01,854.2914125000001
1990-06-01,852.5276737321469
1990-07-01,860.023395296135
1990-08-01,883.6129387678532
1990-09-01,895.5178390520867
1990-10-01,896.1792831398773
1990-11-01,898.1634472038651
1990-12-01,884.9356587440484
1991-01-01,868.1805609479134
1991-02-01,848.5594297038651
1991-03-01,832.465607796135
1991-04-01,822.9858062678531
1991-05-01,820.7590986883919
1991-06-01,836.4339359241108
1991-07-01,822.617870109673
1991-08-01,816.8059085052117
1991-09-01,811.1314498992931
1991-10-01,826.8758375813683
1991-11-01,814.7225909028244
1991-12-01,787.5593150640881
1992-01-01,801.319959180641
1992-02-01,811.297883192329
1992-03-01,826.9053565737152
1992-04-01,858.3254224884407
1992-05-01,866.5025197675321
1992-06-01,879.0266460935213
1992-07-01,884.4953127499385
1992-08-01,878.5001820134739
1992-09-01,874.180905865363
1992-10-01,889.9194906686013
1992-11-01,884.8810780430974
1992-12-01,883.6972907602309
1993-01-01,905.9303061790474
1993-02-01,894.5014942585758
1993-03-01,848.2247129245376
1993-04-01,824.3930464358141
1993-05-01,814.4243733903885
1993-06-01,810.9040443286133
1993-07-01,808.597273841134
1993-08-01,823.1013592464459
1993-09-01,823.0077562878034
1993-10-01,798.1148357693487
1993-11-01,809.0966578199398
1993-12-01,815.3329864767836
1994-01-01,809.0315646573266
1994-02-01,853.6958184720601
1994-03-01,912.7528096981807
1994-04-01,948.5581700202561
1994-05-01,979.3802030159385
1994-06-01,1050.4024781060803
1994-07-01,1251.142138532219
1994-08-01,1261.1355368874742
1994-09-01,1266.6590365439224
1994-10-01,1367.8960607444387
1994-11-01,1343.7825761834729
1994-12-01,1465.4531346652989
1995-01-01,1644.3055976114647
1995-02-01,1770.7711842063911
1995-03-01,1802.8599267825325
1995-04-01,1839.9414999504088
1995-05-01,1722.5573346366111
1995-06-01,1535.7626648547364
1995-07-01,1343.8950174734118
1995-08-01,1297.8497625950247
1995-09-01,1347.0896284230419
1995-10-01,1410.0047771789166
1995-11-01,1613.401315115738
1995-12-01,1635.9460880976103
1996-01-01,1549.8335527398692
1996-02-01,1555.4248367491157
1996-03-01,1558.5612507109836
1996-04-01,1469.175723489456
1996-05-01,1484.3701832770537
1996-06-01,1475.980229674224
1996-07-01,1351.36399533493
1996-08-01,1302.9029767665477
1996-09-01,1305.0092535852052
1996-10-01,1241.8103524641424
1996-11-01,1270.2315074155429
1996-12-01,1257.0703259128188
1997-01-01,1231.2404507113258
1997-02-01,1220.7742438803482
1997-03-01,1226.594531354446
1997-04-01,1150.5647082262415
1997-05-01,1106.7806418015675
1997-06-01,1111.9598373136514
1997-07-01,938.8014282019428
1997-08-01,915.8849345756913
1997-09-01,869.3494625850689
1997-10-01,873.5819478496942
1997-11-01,840.6057853098683
1997-12-01,725.447066080132
1998-01-01,676.1062385703098
1998-02-01,822.4075367767346
1998-03-01,744.9847704284284
1998-04-01,772.2973232227719
1998-05-01,782.4952520321267
1998-06-01,703.0097725062938
1998-07-01,703.799510676213
1998-08-01,653.505917741013
1998-09-01,682.8629340794381
1998-10-01,728.9483886112204
1998-11-01,718.6990748892601
1998-12-01,671.1618914517602
1999-01-01,714.8209016324992
1999-02-01,686.9088294664929
1999-03-01,636.6713469168459
1999-04-01,591.5797523764682
1999-05-01,597.715494797867
1999-06-01,603.5722498985904
1999-07-01,566.2288406865523
1999-08-01,561.6351132905465
1999-09-01,595.6587052954342
1999-10-01,647.2439885240764
1999-11-01,740.5512469594624
1999-12-01,685.1513082779076
2000-01-01,643.9127778570484
2000-02-01,736.1478446110845
2000-03-01,682.1525317559345
2000-04-01,703.939394234039
2000-05-01,687.879899254023
2000-06-01,669.9111865634732
2000-07-01,648.2056272806707
2000-08-01,668.1885400390524
2000-09-01,657.2529783068201
2000-10-01,664.203860285512
2000-11-01,633.6908548735151
2000-12-01,620.0688513829866
2001-01-01,608.7039883862927
2001-02-01,601.8710502095004
2001-03-01,573.6161217931094
2001-04-01,578.790673880774
2001-05-01,606.5961712013901
2001-06-01,619.9083783690284
2001-07-01,605.9212634811195
2001-08-01,586.5110786968767
2001-09-01,579.6428085506576
2001-10-01,537.2652728868131
2001-11-01,514.7213738657883
2001-12-01,487.6605623506871
2002-01-01,567.1930293264206
2002-02-01,624.6758199996179
2002-03-01,670.3392929836099
2002-04-01,673.9753181802419
2002-05-01,705.040128245018
2002-06-01,840.3893188221566
2002-07-01,831.6116057093824
2002-08-01,862.5795035036609
2002-09-01,890.6746698476387
2002-10-01,826.2617698083822
2002-11-01,840.1348845939403
2002-12-01,847.8748908539958
2003-01-01,900.4557707739373
2003-02-01,977.1263296509138
2003-03-01,1058.5728690529118
2003-04-01,984.546794293966
2003-05-01,987.0467976959127
2003-06-01,1015.9537634387704
2003-07-01,992.9361337732271
2003-08-01,1040.7157018961493
2003-09-01,1105.7969592883862
2003-10-01,1298.0452446108225
2003-11-01,1263.6267195140201
2003-12-01,1244.7635986074267
2004-01-01,1255.279485933077
2004-02-01,1294.080708323525
2004-03-01,1330.0018098357093
2004-04-01,1388.5733181098917
2004-05-01,1344.0018288866113
2004-06-01,1367.7399564270017
2004-07-01,1244.2874074832457
2004-08-01,1225.2397625160322
2004-09-01,1243.7516924685438
2004-10-01,1271.7874449046606
2004-11-01,1227.6266705259861
2004-12-01,1183.096848026072
2005-01-01,1183.251610141431
2005-02-01,1258.6781833684026
2005-03-01,1318.2972484538673
